YEAR,Team,GP,Att,Yds,Avg,Yds/G,TD,Big,Fum,FumL,Stuff,Yds
2015,SD,16,393,1358,3.5,84.9,4,28,7,4,40,-85
2016,SD,16,398,1510,3.8,94.4,10,36,6,3,48,-90
2002,SEA,16,430,1740,4,108.8,17,41,6,3,46,-115
2003,SEA,16,453,2009,4.4,125.6,17,61,9,5,48,-105
2004,SEA,16,468,2095,4.5,130.9,17,56,11,4,42,-98
2005,SEA,16,519,2457,4.7,153.6,29,75,7,1,62,-143
2006,SEA,16,484,1923,4,120.2,8,51,9,4,56,-125
2007,SEA,16,430,1619,3.8,101.2,9,45,10,5,53,-131
2008,SEA,16,417,1768,4.2,110.5,10,49,7,5,55,-122
2009,SEA,16,395,1566,4,97.9,7,39,14,3,45,-104
2010,SEA,16,385,1424,3.7,89,13,40,3,1,49,-109
2011,SEA,16,444,1756,4,109.8,15,43,10,4,45,-94
2012,SEA,16,536,2579,4.8,161.2,16,75,7,3,43,-117
2013,SEA,16,509,2188,4.3,136.8,14,71,7,2,52,-130
2014,SEA,16,525,2762,5.3,172.6,20,83,10,3,41,-86
2015,SEA,16,500,2268,4.5,141.8,10,61,10,4,42,-98
2016,SEA,16,403,1591,3.9,99.4,13,40,8,3,46,-117
2017,SEA,16,409,1629,4,101.8,4,60,7,1,51,-117
2002,SF,16,489,2244,4.6,140.3,16,62,6,5,41,-68
2003,SF,16,499,2279,4.6,142.4,16,63,13,6,42,-75
2004,SF,16,413,1449,3.5,90.6,10,33,12,8,47,-110
2005,SF,16,428,1689,3.9,105.6,9,37,8,3,50,-122
2006,SF,16,439,2172,4.9,135.8,12,57,10,9,36,-74
2007,SF,16,357,1477,4.1,92.3,8,41,12,5,29,-69
2008,SF,16,397,1599,4,99.9,10,37,15,8,47,-91
2009,SF,16,371,1600,4.3,100,12,41,5,2,41,-85
2010,SF,16,401,1657,4.1,103.6,10,40,8,2,30,-67
2011,SF,16,498,2044,4.1,127.8,14,56,5,2,58,-128
2012,SF,16,492,2491,5.1,155.7,17,81,11,3,36,-75
2013,SF,16,505,2201,4.4,137.6,18,68,7,5,61,-165
2014,SF,16,470,2176,4.6,136,10,62,10,7,49,-97
2015,SF,16,390,1544,4,96.5,7,42,8,1,45,-101
2016,SF,16,458,2019,4.4,126.2,15,60,8,6,52,-110
2017,SF,16,408,1662,4.1,103.9,15,53,7,2,46,-104
2002,STL,16,343,1405,4.1,87.8,11,40,9,7,49,-102
2003,STL,16,411,1496,3.6,93.5,19,44,6,0,65,-145
2004,STL,16,381,1624,4.3,101.5,11,47,2,2,51,-110
2005,STL,16,380,1535,4,95.9,13,51,11,6,67,-135
2006,STL,16,424,1805,4.3,112.8,13,47,7,3,31,-75
2007,STL,16,404,1527,3.8,95.4,5,26,8,3,49,-114
2008,STL,16,417,1649,4,103.1,8,41,8,6,56,-135
2009,STL,16,411,1784,4.3,111.5,4,53,7,4,40,-84
2010,STL,16,429,1578,3.7,98.6,9,44,2,1,42,-116
2011,STL,16,409,1667,4.1,104.2,7,47,7,2,48,-112
2012,STL,16,410,1714,4.2,107.1,5,46,6,3,38,-85
2013,STL,16,426,1752,4.1,109.5,10,45,6,4,41,-89
2014,STL,16,395,1635,4.1,102.2,11,47,11,5,41,-86
2015,STL,16,429,1956,4.6,122.3,16,56,12,5,59,-132
2002,TB,16,414,1557,3.8,97.3,6,37,6,4,48,-101
2003,TB,16,421,1648,3.9,103,5,43,8,2,37,-65
2004,TB,16,393,1489,3.8,93.1,9,34,12,9,40,-90
2005,TB,16,457,1826,4,114.1,13,34,5,3,38,-83
2006,TB,16,404,1523,3.8,95.2,6,34,10,6,39,-76
2007,TB,16,449,1872,4.2,117,15,51,6,4,26,-54
2008,TB,16,451,1837,4.1,114.8,13,41,6,3,42,-86
2009,TB,16,404,1627,4,101.7,5,43,13,3,37,-82
2010,TB,16,431,2001,4.6,125.1,9,63,9,6,37,-90
2011,TB,16,346,1458,4.2,91.1,9,35,9,5,37,-94
2012,TB,16,416,1837,4.4,114.8,13,51,3,2,39,-87
2013,TB,16,420,1612,3.8,100.8,6,47,8,2,45,-100
2014,TB,16,353,1375,3.9,85.9,7,34,8,4,41,-93
2015,TB,16,455,2162,4.8,135.1,12,50,11,7,53,-119
2016,TB,16,453,1616,3.6,101,8,35,9,4,54,-114
2017,TB,16,389,1450,3.7,90.6,8,30,8,3,34,-71
2002,TEN,16,511,1952,3.8,122,16,53,6,3,37,-77
2003,TEN,16,486,1623,3.3,101.4,11,42,9,3,62,-121
2004,TEN,16,420,1871,4.5,116.9,12,56,10,6,37,-68
2005,TEN,16,397,1525,3.8,95.3,8,36,8,4,38,-86
2006,TEN,16,469,2214,4.7,138.4,15,56,12,3,43,-93
2007,TEN,16,543,2109,3.9,131.8,17,52,14,9,39,-93
2008,TEN,16,508,2199,4.3,137.4,24,55,7,5,74,-140
2009,TEN,16,499,2592,5.2,162,19,65,14,8,50,-106
2010,TEN,16,406,1727,4.3,107.9,13,48,9,5,51,-129
2011,TEN,16,376,1438,3.8,89.9,8,40,6,3,43,-99
2012,TEN,16,378,1687,4.5,105.4,10,45,6,5,50,-161
2013,TEN,16,462,1894,4.1,118.4,16,46,8,2,43,-90
2014,TEN,16,356,1447,4.1,90.4,6,37,7,3,21,-41
2015,TEN,16,371,1485,4,92.8,10,33,9,4,46,-85
2016,TEN,16,476,2187,4.6,136.7,16,59,10,4,44,-96
2017,TEN,16,443,1833,4.1,114.6,18,43,4,2,49,-131
2002,WSH,16,442,1889,4.3,118.1,10,58,10,8,37,-68
