YEAR,Team,GP,Comp,Att,Pct,Yds,Avg,Yds/G,TD,Int,QBR,Lng
2010,STL,16,354,590,0.6,3268,5.5,204.3,18,15,76.5,49
2011,STL,16,292,549,0.532,2870,5.2,179.4,9,10,69,68
2012,STL,16,332,557,0.596,3550,6.4,221.9,22,14,82.7,80
2013,STL,16,301,506,0.595,3125,6.2,195.3,22,11,84.8,81
2014,STL,16,327,515,0.635,3400,7.2,212.5,20,16,84.9,63
2015,STL,16,273,473,0.577,2805,6.2,175.3,11,11,74.1,68
2002,TB,16,348,567,0.614,3445,6.1,215.3,23,10,86.3,76
2003,TB,16,369,592,0.623,3805,6.4,237.8,27,22,81.5,76
2004,TB,16,340,512,0.664,3474,6.8,217.1,24,18,89.1,75
2005,TB,16,303,487,0.622,2890,5.9,180.6,17,14,80.7,80
2006,TB,16,296,535,0.553,2798,5.2,174.9,14,18,66.2,64
2007,TB,16,316,490,0.645,3357,6.9,209.8,18,8,91.7,69
2008,TB,16,355,562,0.632,3619,6.4,226.2,18,13,83.8,71
2009,TB,16,279,524,0.532,2973,5.7,185.8,18,29,59.8,47
2010,TB,16,306,494,0.619,3361,6.8,210.1,26,6,96.2,64
2011,TB,16,365,588,0.621,3650,6.2,228.1,17,24,73.6,65
2012,TB,16,311,566,0.549,3983,7,248.9,27,17,81.8,95
2013,TB,16,291,514,0.566,2820,5.5,176.3,22,12,79.6,85
2014,TB,16,301,531,0.567,3297,6.8,206.1,21,20,75.2,56
2015,TB,16,312,535,0.583,3852,7.6,240.8,22,15,84.2,68
2016,TB,16,355,578,0.614,3926,7.2,245.4,29,18,87,45
2017,TB,16,378,605,0.625,4366,7.6,272.9,26,14,90.6,70
2002,TEN,16,306,500,0.612,3320,6.6,207.5,22,15,83.9,55
2003,TEN,16,315,502,0.627,3878,7.7,242.4,30,9,100.3,73
2004,TEN,16,356,589,0.604,3616,6.1,226,27,19,82.1,48
2005,TEN,16,358,594,0.603,3597,6.1,224.8,20,14,80.3,57
2006,TEN,16,226,447,0.506,2596,5.8,162.3,13,19,61.8,53
2007,TEN,16,288,464,0.621,2878,6.2,179.9,9,17,72.6,73
2008,TEN,16,265,453,0.585,2819,6.2,176.2,13,9,78.8,56
2009,TEN,16,271,476,0.569,3031,6.4,189.4,16,15,74.8,69
2010,TEN,16,273,474,0.576,3107,6.6,194.2,24,15,82.6,80
2011,TEN,16,353,584,0.604,3923,6.7,245.2,22,14,84.4,80
2012,TEN,16,318,540,0.589,3323,6.2,207.7,17,16,76.9,71
2013,TEN,16,328,533,0.615,3496,6.6,218.5,22,16,83.6,77
2014,TEN,16,299,513,0.583,3412,7.3,213.3,20,16,81,80
2015,TEN,16,342,551,0.621,3503,7.1,218.9,25,17,85.5,61
2016,TEN,16,307,504,0.609,3541,7.4,221.3,29,11,93.7,60
2017,TEN,16,306,496,0.617,3191,6.8,199.4,14,17,77.1,75
2002,WSH,16,300,559,0.537,3254,5.8,203.4,24,20,72.5,62
2003,WSH,16,283,527,0.537,3006,5.7,187.9,21,16,73.3,64
2004,WSH,16,288,514,0.56,2632,5.1,164.5,18,17,70,51
2005,WSH,16,278,481,0.578,3106,6.5,194.1,25,11,87,78
2006,WSH,16,274,470,0.583,3027,6.4,189.2,19,10,83.4,74
2007,WSH,16,319,525,0.608,3463,6.6,216.4,18,11,84.2,54
2008,WSH,16,318,510,0.624,3025,5.9,189.1,14,6,85.2,67
2009,WSH,16,340,533,0.638,3490,6.6,218.1,21,16,85.5,84
2010,WSH,16,349,605,0.577,3913,6.5,244.6,21,19,78,76
2011,WSH,16,346,591,0.585,3773,6.4,235.8,19,24,73.3,51
2012,WSH,16,291,442,0.658,3422,7.7,213.9,24,8,102.1,88
2013,WSH,16,355,611,0.581,3751,6.1,234.4,20,19,76.1,62
2014,WSH,16,364,547,0.665,4047,8.2,252.9,18,18,88.8,81
2015,WSH,16,386,555,0.695,4095,7.7,255.9,30,11,102,78
2016,WSH,16,407,607,0.671,4758,8.2,297.4,25,12,97.4,80
2017,WSH,16,347,540,0.643,3751,7.6,234.4,27,13,93.9,74
